Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
f14c2a16-9497-431f-aee6-d803552aa923,"2020-12-06, 11:57:20 AM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
49088c12-a0ca-4cfb-a890-f9a6742dabd4,"2020-12-06, 11:57:01 AM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855997103778:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
053dbb71-95ae-4a24-a67e-6c3904f47975,"2020-12-06, 11:43:16 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855997103778:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
3e25436e-d2cc-475a-b6af-8f12fd98effc,"2020-12-06, 11:43:16 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855997103778:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""pembeweb-cloudtrail-logs""}]",,us-east-1,,108.46.197.118
60b47e4f-5a94-44a9-9d8d-decfe013a2b8,"2020-12-06, 11:43:16 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,108.46.197.118
676fb19f-eba2-4e87-8fd1-7085dcf42027,"2020-12-06, 11:43:15 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""pembeweb-cloudtrail-logs""}]",,us-east-1,,108.46.197.118
8f4229e7-0c02-480f-aca8-c46bd25ef064,"2020-12-06, 11:43:15 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""pembeweb-cloudtrail-logs""}]",,us-east-1,,108.46.197.118
293416d4-8001-4dc5-8761-04bab08ca88b,"2020-12-06, 11:43:03 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloud-logs""}]",,us-east-1,BucketAlreadyExists,108.46.197.118
39af110f-0025-43df-914e-20114987e525,"2020-12-06, 11:42:53 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloud-trail-logs1""}]",,us-east-1,BucketAlreadyExists,108.46.197.118
728ba8b2-37bb-4a5a-9d31-fdde02b53f9a,"2020-12-06, 11:42:48 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloud-trail-logs""}]",,us-east-1,BucketAlreadyExists,108.46.197.118
babb277c-0c90-43a9-97ac-a837c877f1ba,"2020-12-06, 11:41:39 AM",CloudTrail,DeleteTrail,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855997103778:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
4a0df307-7a4e-4c38-adac-30674fefc77f,"2020-12-06, 11:41:21 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
d08e9182-01ab-404c-ae6c-875ac82d6e26,"2020-12-06, 11:39:37 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
0fd04c45-3161-41df-9b50-3070429ac92b,"2020-12-06, 11:39:17 AM",Accountant,ChangePassword,,,,us-east-1,InternalFailure,AWS Internal
3074b70f-8872-44e7-aedd-5dd80ca23bbd,"2020-12-06, 11:39:03 AM",Accountant,ConsoleLogin,,,,us-east-1,,108.46.197.118
a022658f-7f61-4a3d-88b0-59ebe45a2e86,"2020-12-06, 11:38:15 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
1493f6d4-6420-4807-bd7c-c25e28d66806,"2020-12-06, 11:37:54 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
50fba8b5-6ad4-4431-b15d-85724825fb73,"2020-12-06, 11:36:51 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.46.197.118
4dfa69c3-9521-468a-97bb-d46022155e8c,"2020-12-06, 11:36:50 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855997103778:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OTLHH2RJQPOSQOCU""}]",,us-east-1,,108.46.197.118
535a5598-413a-462a-a3f8-6d925bfdf63b,"2020-12-06, 11:36:50 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.46.197.118
b66bc744-f14e-4cd0-ac68-d44eb09b6efd,"2020-12-06, 11:36:12 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,108.46.197.118
e5c8d107-6088-4e2e-af6c-955727423d80,"2020-12-06, 11:36:12 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OTLHH2RMUJIJY7N3""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855997103778:user/CloudTrail""}]",,us-east-1,,108.46.197.118
efed570c-e38e-44a4-8101-0247b752bbd3,"2020-12-06, 11:36:12 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
28ada386-faa1-4d23-bb7b-bce6cf8adea2,"2020-12-06, 11:35:45 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,108.46.197.118
dfeaa119-9b7e-431e-b2ad-a00c34eefb62,"2020-12-06, 11:35:45 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,108.46.197.118
46c4865f-c238-48d7-b957-1e74b38fddd4,"2020-12-06, 11:35:44 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,NoSuchEntityException,108.46.197.118
9960e1a0-c28c-49fb-98b0-7315f1031dd6,"2020-12-06, 11:35:44 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,NoSuchEntityException,108.46.197.118
a377df57-47bd-4571-9386-b4c8df725f2a,"2020-12-06, 11:35:44 AM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
d55047c8-6154-454b-a9ff-b568b6e06d8d,"2020-12-06, 11:35:44 AM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.46.197.118
b054117f-be15-48b2-a33f-a71316976339,"2020-12-06, 11:35:06 AM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,108.46.197.118
e0893450-2403-4b1c-ac87-3c00ccecb3a6,"2020-12-06, 11:33:59 AM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
ba99f819-45a1-47b9-b085-df237f874b42,"2020-12-06, 11:33:17 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
55e40f37-4167-4e0a-8435-67ee54e65930,"2020-12-06, 11:32:55 AM",HIDDEN_DUE_TO_SECURITY_REASONS,ConsoleLogin,,,,us-east-1,,108.46.197.118
80a3ef88-61c8-41f0-b06c-b9cb8d1b6116,"2020-12-06, 11:32:47 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
ee545d51-4a7c-46a0-af0c-ef7853804064,"2020-12-06, 11:32:13 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
5d8afb30-15fe-4045-bf22-16aadf4d2060,"2020-12-06, 11:31:59 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
67694fc4-d4ae-4f9a-84ea-4f43542fed0b,"2020-12-06, 11:24:36 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855997103778:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OTLHH2RDU4YAYTNB""}]",,us-east-1,,108.46.197.118
dcff385b-4a4d-4087-9d73-eb9d2c8af064,"2020-12-06, 11:24:36 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.46.197.118
47db3946-6b43-40c9-bd67-9003f4c3fb78,"2020-12-06, 11:23:44 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
932d6538-b373-4761-8f60-3c9411468935,"2020-12-06, 11:23:44 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::855997103778:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4OTLHH2RAB6XEFTQT""}]",,us-east-1,,108.46.197.118
438de012-479a-47bc-9bc6-065fbe873ce8,"2020-12-06, 11:22:24 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,108.46.197.118
5650948f-d78f-4cab-822c-6c93408d8588,"2020-12-06, 11:22:24 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::855997103778:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4OTLHH2RL6HNFAML7""}]",,us-east-1,,108.46.197.118
1a2878be-4c24-4888-9240-9ac0dfb4390d,"2020-12-06, 11:22:03 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
9d9b527f-806d-42d2-8cbd-0e22cf1ae87d,"2020-12-06, 11:22:03 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA4OTLHH2RMQRXZNJI4""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::855997103778:group/CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
ce25b703-c91f-4a67-806c-42a0cbd16da5,"2020-12-06, 11:22:03 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
9fe55c7b-bc57-43af-9944-ec4f555f5f2f,"2020-12-06, 11:19:45 AM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
c3a367cf-8f81-43aa-9e70-99e299ce54a3,"2020-12-06, 11:19:17 AM",root,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855997103778:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
c71530e3-7a54-4ee6-b2a0-e5db399c736d,"2020-12-06, 11:17:47 AM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
27bc4b9f-f328-4c36-9543-de95277f9415,"2020-12-06, 11:17:05 AM",root,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855997103778:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
0a711680-1adb-4935-9067-2a1c4a4dec4d,"2020-12-06, 11:15:14 AM",root,DeleteGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,108.46.197.118
